iter	Logloss	F1:use_weights=true	F1:use_weights=false
402	0.05414019403	0.9997729852	0.9991075413
403	0.05371103525	0.9998864797	0.9995535714
404	0.05349251303	0.9998297293	0.9993305066
405	0.05318785945	0.9998864797	0.9995535714
406	0.05282001415	0.9998864797	0.9995535714
407	0.05249374932	0.9999432366	0.9997767359
408	0.05227540361	0.9999432366	0.9997767359
409	0.05203367089	0.9999432366	0.9997767359
410	0.05171137345	0.9999432366	0.9997767359
411	0.05145535907	0.9999432366	0.9997767359
412	0.05120843183	0.9999432366	0.9997767359
413	0.0508610107	1	1
414	0.05058261256	1	1
415	0.05038826311	1	1
416	0.05020453227	1	1
417	0.0498554707	0.9999432366	0.9997767359
418	0.04963462419	0.9999432366	0.9997767359
419	0.04937426505	0.9999432366	0.9997767359
420	0.04924645562	0.9999432366	0.9997767359
421	0.04902554761	0.9999432366	0.9997767359
422	0.0488289637	0.9999432366	0.9997767359
423	0.04859928709	0.9999432366	0.9997767359
424	0.04846924026	0.9998297293	0.9993305066
425	0.0483020122	0.9998864797	0.9995535714
426	0.04803661392	1	1
427	0.04781748121	0.9999432366	0.9997767359
428	0.0474727497	0.9999432366	0.9997767359
429	0.04713631517	0.9999432366	0.9997767359
430	0.04683907212	0.9999432366	0.9997767359
431	0.04668739041	1	1
432	0.04651081217	1	1
433	0.0462297463	1	1
434	0.04617592414	1	1
435	0.04595846502	1	1
436	0.04571052186	1	1
437	0.04555150645	1	1
438	0.04529420188	1	1
439	0.04506599691	1	1
440	0.04482433402	1	1
441	0.0446484939	1	1
442	0.04445161595	1	1
443	0.04430046477	1	1
444	0.04403513257	1	1
445	0.04387285326	1	1
446	0.04374459022	1	1
447	0.04353461871	1	1
448	0.04345750385	1	1
449	0.04331339454	1	1
450	0.04318136876	1	1
451	0.04295855558	1	1
452	0.04276470353	1	1
453	0.04259954769	1	1
454	0.04239911146	1	1
455	0.04225813662	1	1
456	0.0420712739	1	1
457	0.04190454834	1	1
458	0.04175181087	1	1
459	0.04144983451	1	1
460	0.04124263452	1	1
461	0.04091874576	1	1
462	0.04076124958	1	1
463	0.04049674514	1	1
464	0.04038038761	1	1
465	0.04021801231	1	1
466	0.04015000482	1	1
467	0.04000554501	1	1
468	0.03976189918	1	1
469	0.03940053611	1	1
470	0.03927410173	1	1
471	0.03914290656	1	1
472	0.03884097076	1	1
473	0.03854418999	1	1
474	0.03826624882	1	1
475	0.03812387215	1	1
476	0.0379919708	1	1
477	0.03783370269	1	1
478	0.03750484616	1	1
479	0.03727392518	1	1
480	0.03713764859	1	1
481	0.03703539088	1	1
482	0.03680159484	1	1
483	0.03657926154	1	1
484	0.03632665725	1	1
485	0.03621694902	1	1
486	0.0359883902	1	1
487	0.03571150855	1	1
488	0.03548752714	1	1
489	0.03537980858	1	1
490	0.03515723015	1	1
491	0.03503997055	1	1
492	0.03487107119	1	1
493	0.03460691263	1	1
494	0.0343054995	1	1
495	0.03411114934	1	1
496	0.03393157707	1	1
497	0.03385361403	1	1
498	0.03375283841	1	1
499	0.03368627613	1	1
500	0.03354528255	1	1
501	0.03334847376	1	1
502	0.03328309586	1	1
503	0.03314289013	1	1
504	0.03308122487	1	1
505	0.03297364927	1	1
506	0.03276006162	1	1
507	0.03268518417	1	1
508	0.03259200729	1	1
509	0.03245198358	1	1
510	0.03228099553	1	1
511	0.03228097939	1	1
512	0.03227447842	1	1
513	0.03227096078	1	1
514	0.03198468798	1	1
515	0.03188043387	1	1
516	0.03177475442	1	1
517	0.03163767679	1	1
518	0.0315037002	1	1
519	0.03131635833	1	1
520	0.03120883294	1	1
521	0.03107005029	1	1
522	0.03095195657	1	1
523	0.03091060181	1	1
524	0.03063349872	1	1
525	0.03048963246	1	1
526	0.03035152739	1	1
527	0.03035150566	1	1
528	0.03029240151	1	1
529	0.03029197385	1	1
530	0.03024648627	1	1
531	0.03007826658	1	1
532	0.03003812056	1	1
533	0.02994519618	1	1
534	0.02978984068	1	1
535	0.02969867139	1	1
536	0.02953483682	1	1
537	0.02951180846	1	1
538	0.02935619084	1	1
539	0.02918738168	1	1
540	0.02903069994	1	1
541	0.0288464158	1	1
542	0.02878806029	1	1
543	0.02864942139	1	1
544	0.02844560743	1	1
545	0.02826922658	1	1
546	0.02819088655	1	1
547	0.0281031171	1	1
548	0.0279865118	1	1
549	0.02784007039	1	1
550	0.02772112505	1	1
551	0.02771863215	1	1
552	0.02771654343	1	1
553	0.02758217012	1	1
554	0.02753525625	1	1
555	0.02739065842	1	1
556	0.02728585778	1	1
557	0.02714999723	1	1
558	0.02702591603	1	1
559	0.02684595057	1	1
560	0.0267082589	1	1
561	0.02662123698	1	1
562	0.02662122053	1	1
563	0.02662112781	1	1
564	0.02654800662	1	1
565	0.02654597369	1	1
566	0.02640645874	1	1
567	0.02631174846	1	1
568	0.02615640436	1	1
569	0.02603400774	1	1
570	0.02582481781	1	1
571	0.02572452096	1	1
572	0.02559099589	1	1
573	0.02541527747	1	1
574	0.0254152719	1	1
575	0.02541519774	1	1
576	0.02541499798	1	1
577	0.0253554122	1	1
578	0.0252271988	1	1
579	0.02512417659	1	1
580	0.0250147768	1	1
581	0.02501473739	1	1
582	0.0249365037	1	1
583	0.02477949932	1	1
584	0.02461127916	1	1
585	0.02445045651	1	1
586	0.02431741838	1	1
587	0.02424542796	1	1
588	0.02416374777	1	1
589	0.02407374916	1	1
590	0.02399829107	1	1
591	0.02389792781	1	1
592	0.02385027878	1	1
593	0.02378346361	1	1
594	0.02378302755	1	1
595	0.02373137315	1	1
596	0.02362941562	1	1
597	0.02356662282	1	1
598	0.02354171593	1	1
599	0.02354160488	1	1
600	0.02354130117	1	1
601	0.02353733671	1	1
602	0.02349767179	1	1
603	0.02342493936	1	1
604	0.02334580417	1	1
605	0.02322614789	1	1
606	0.02311112669	1	1
607	0.02304144836	1	1
608	0.02293600501	1	1
609	0.02283380721	1	1
610	0.02267342491	1	1
611	0.02248237025	1	1
612	0.02239603713	1	1
613	0.02226608885	1	1
614	0.02214891755	1	1
615	0.02209984669	1	1
616	0.02202434044	1	1
617	0.02192648173	1	1
618	0.02177593255	1	1
619	0.02169522446	1	1
620	0.02165269665	1	1
621	0.02155536307	1	1
622	0.02143711223	1	1
623	0.02130936678	1	1
624	0.02118942946	1	1
625	0.02096374192	1	1
626	0.02088031323	1	1
627	0.02080493251	1	1
628	0.02073229936	1	1
629	0.02070388292	1	1
630	0.02070388093	1	1
631	0.02066272729	1	1
632	0.02057413328	1	1
633	0.02051545305	1	1
634	0.02042723434	1	1
635	0.02037033741	1	1
636	0.02026530008	1	1
637	0.02017991629	1	1
638	0.0201366645	1	1
639	0.02013666332	1	1
640	0.02013642202	1	1
641	0.02013636993	1	1
642	0.02013452724	1	1
643	0.02013448995	1	1
644	0.02013440145	1	1
645	0.02013438666	1	1
646	0.02007799316	1	1
647	0.02007779295	1	1
648	0.02007778442	1	1
649	0.02007771262	1	1
650	0.02007769526	1	1
651	0.02007760607	1	1
652	0.02007759835	1	1
653	0.02007755335	1	1
654	0.02007752109	1	1
655	0.0200774808	1	1
656	0.02007742527	1	1
657	0.02007725816	1	1
658	0.02007725763	1	1
659	0.02007723996	1	1
660	0.02007721482	1	1
661	0.02007695364	1	1
662	0.02007688855	1	1
663	0.02007687271	1	1
664	0.02007684044	1	1
665	0.02007680874	1	1
666	0.02007669274	1	1
667	0.02007665337	1	1
668	0.02007662215	1	1
669	0.02007640776	1	1
670	0.02007640776	1	1
671	0.02007616297	1	1
672	0.0200761014	1	1
673	0.02007604142	1	1
674	0.02007578618	1	1
675	0.02007578584	1	1
676	0.02007577019	1	1
677	0.02007553955	1	1
678	0.02004848435	1	1
679	0.02002454491	1	1
680	0.02002454121	1	1
681	0.02002449824	1	1
682	0.02002444049	1	1
683	0.02002421418	1	1
684	0.02002418625	1	1
685	0.01999480464	1	1
686	0.01994587638	1	1
687	0.0199458546	1	1
688	0.01990899027	1	1
689	0.01978128851	1	1
690	0.01965553819	1	1
691	0.01959116602	1	1
692	0.01948976754	1	1
693	0.01940476217	1	1
694	0.01936230509	1	1
695	0.01929502574	1	1
696	0.01924018267	1	1
697	0.01918116162	1	1
698	0.01907967017	1	1
699	0.01904667403	1	1
700	0.01897318524	1	1
701	0.01888187426	1	1
702	0.01874644738	1	1
703	0.01868369103	1	1
704	0.01856838768	1	1
705	0.01853902257	1	1
706	0.01847452939	1	1
707	0.01842122765	1	1
708	0.01837245161	1	1
709	0.01834377667	1	1
710	0.01834377291	1	1
711	0.0183437526	1	1
712	0.01828093079	1	1
713	0.01828092398	1	1
714	0.01828090441	1	1
715	0.01828089304	1	1
716	0.01828088975	1	1
717	0.01828082564	1	1
718	0.01828079257	1	1
719	0.0182807799	1	1
720	0.01828077817	1	1
721	0.01828074718	1	1
722	0.01828071466	1	1
723	0.0182275634	1	1
724	0.01813197437	1	1
725	0.01803589581	1	1
726	0.01798973593	1	1
727	0.01798971346	1	1
728	0.01792486907	1	1
729	0.01787438236	1	1
730	0.01780105864	1	1
731	0.01775615671	1	1
732	0.01768792469	1	1
733	0.01763595307	1	1
734	0.01756788085	1	1
735	0.01750743931	1	1
736	0.01746183212	1	1
737	0.01736954802	1	1
738	0.0173270746	1	1
